2017-03-10 01:39:50 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:39:50 status half-configured man-db:armhf 2.7.0.2-5
2017-03-10 01:40:01 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:40:03 startup packages configure
2017-03-10 01:40:03 configure apt:armhf 1.0.9.8.4 <none>
2017-03-10 01:40:03 status unpacked apt:armhf 1.0.9.8.4
2017-03-10 01:40:03 status unpacked apt:armhf 1.0.9.8.4
2017-03-10 01:40:03 status unpacked apt:armhf 1.0.9.8.4
2017-03-10 01:40:03 status unpacked apt:armhf 1.0.9.8.4
2017-03-10 01:40:03 status unpacked apt:armhf 1.0.9.8.4
2017-03-10 01:40:03 status half-configured apt:armhf 1.0.9.8.4
2017-03-10 01:40:04 status installed apt:armhf 1.0.9.8.4
2017-03-10 01:40:05 status triggers-pending libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:40:06 trigproc libc-bin:armhf 2.19-18+deb8u7 <none>
2017-03-10 01:40:06 status half-configured libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:40:07 status installed libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:40:12 startup archives unpack
2017-03-10 01:40:13 upgrade libpcre3:armhf 2:8.35-3.3 2:8.35-3.3+deb8u4
2017-03-10 01:40:22 status half-configured libpcre3:armhf 2:8.35-3.3
2017-03-10 01:40:44 status unpacked libpcre3:armhf 2:8.35-3.3
2017-03-10 01:40:44 status half-installed libpcre3:armhf 2:8.35-3.3
2017-03-10 01:40:44 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:40:46 status half-installed libpcre3:armhf 2:8.35-3.3
2017-03-10 01:40:48 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2017-03-10 01:40:48 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2017-03-10 01:40:48 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:40:48 status half-configured man-db:armhf 2.7.0.2-5
2017-03-10 01:41:01 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:41:04 startup packages configure
2017-03-10 01:41:04 configure libpcre3:armhf 2:8.35-3.3+deb8u4 <none>
2017-03-10 01:41:04 status unpacked libpcre3:armhf 2:8.35-3.3+deb8u4
2017-03-10 01:41:04 status half-configured libpcre3:armhf 2:8.35-3.3+deb8u4
2017-03-10 01:41:05 status installed libpcre3:armhf 2:8.35-3.3+deb8u4
2017-03-10 01:41:05 status triggers-pending libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:41:05 trigproc libc-bin:armhf 2.19-18+deb8u7 <none>
2017-03-10 01:41:05 status half-configured libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:41:07 status installed libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:41:13 startup archives unpack
2017-03-10 01:41:32 upgrade libudev1:armhf 215-17+deb8u2 215-17+deb8u6
2017-03-10 01:41:32 status half-configured libudev1:armhf 215-17+deb8u2
2017-03-10 01:41:33 status unpacked libudev1:armhf 215-17+deb8u2
2017-03-10 01:41:33 status half-installed libudev1:armhf 215-17+deb8u2
2017-03-10 01:41:33 status half-installed libudev1:armhf 215-17+deb8u2
2017-03-10 01:41:33 status unpacked libudev1:armhf 215-17+deb8u6
2017-03-10 01:41:33 status unpacked libudev1:armhf 215-17+deb8u6
2017-03-10 01:41:35 startup packages configure
2017-03-10 01:41:35 configure libudev1:armhf 215-17+deb8u6 <none>
2017-03-10 01:41:35 status unpacked libudev1:armhf 215-17+deb8u6
2017-03-10 01:41:35 status half-configured libudev1:armhf 215-17+deb8u6
2017-03-10 01:41:36 status installed libudev1:armhf 215-17+deb8u6
2017-03-10 01:41:38 status triggers-pending libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:41:38 trigproc libc-bin:armhf 2.19-18+deb8u7 <none>
2017-03-10 01:41:38 status half-configured libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:41:39 status installed libc-bin:armhf 2.19-18+deb8u7
2017-03-10 01:41:44 startup archives unpack
2017-03-10 01:41:46 upgrade udev:armhf 215-17+deb8u2 215-17+deb8u6
2017-03-10 01:41:46 status half-configured udev:armhf 215-17+deb8u2
2017-03-10 01:41:46 status unpacked udev:armhf 215-17+deb8u2
2017-03-10 01:41:46 status half-installed udev:armhf 215-17+deb8u2
2017-03-10 01:41:59 status triggers-pending systemd:armhf 215-17+deb8u2
2017-03-10 01:42:20 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:42:23 status half-installed udev:armhf 215-17+deb8u2
2017-03-10 01:42:32 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:33 status unpacked udev:armhf 215-17+deb8u6
2017-03-10 01:42:33 trigproc systemd:armhf 215-17+deb8u2 <none>
2017-03-10 01:42:33 status half-configured systemd:armhf 215-17+deb8u2
2017-03-10 01:42:36 status installed systemd:armhf 215-17+deb8u2
2017-03-10 01:42:36 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:42:36 status half-configured man-db:armhf 2.7.0.2-5
